Label_Encoded,score_isolation_forest,pred_isolation_forest,score_lof,pred_lof,score_oneclass_svm,pred_oneclass_svm,score_ensemble,pred_ensemble
1,0.16253663882221658,1,52.62720489501953,1,266.86814644169084,1,0.6805326620608234,1
1,0.16206294150340783,1,7.919053077697754,1,266.86814644169135,1,0.677991107219091,1
1,0.1173723879293248,1,945.280029296875,1,266.8681464416915,1,0.667852165954792,1
1,0.14658900188008828,1,3.637967586517334,1,266.59923022269254,1,0.6595912381585775,1
1,0.14413433719080926,1,10.227869987487793,1,266.8665054541329,1,0.6572742949546174,1
1,0.1403071816364917,1,10.282742500305176,1,266.86646016565146,1,0.6528327143982832,1
1,0.13787490690999882,1,10.285648345947266,1,266.86647001124567,1,0.6500085644220063,1
1,0.13783755922372898,1,10.21469783782959,1,266.8664742186288,1,0.6499620406568145,1
1,0.13580824003767977,1,28.365798950195312,1,266.8681444915383,1,0.6484156867479428,1
1,0.13559047655318113,1,10.23553466796875,1,266.86653570095626,1,0.6473537754884312,1
1,0.11358009733638552,1,563.9706420898438,1,266.8681464416915,1,0.6464633556152485,1
1,0.12813190225396975,1,171.1979522705078,1,266.8681464416915,1,0.6458645580428892,1
1,0.13850645700588482,1,18.6954288482666,1,260.26689092119227,1,0.6451953933074428,1
1,0.1335432627106038,1,10.279473304748535,1,266.8664637792795,1,0.644978501693043,1
1,0.1334392230002761,1,10.311604499816895,1,266.866562928434,1,0.6448592139703925,1
1,0.13334896078815717,1,6.240013122558594,1,265.972669342034,1,0.6437710379314585,1
1,0.13203487733195785,1,10.230881690979004,1,266.86651993137355,1,0.6432248933637462,1
1,0.12859770267094683,1,77.97551727294922,1,266.8681464416915,1,0.6422528673115272,1
1,0.1308819448087386,1,21.39879608154297,1,266.5919592369358,1,0.6421372773071403,1
1,0.1310487362988334,1,10.279546737670898,1,266.86646662408305,1,0.6420819343799266,1
1,0.13026899864398966,1,28.383359909057617,1,266.8681446484902,1,0.6419844595404617,1
1,0.1328570346354664,1,2.1399080753326416,1,264.0507688346316,1,0.6412928666503154,1
1,0.13010333178306688,1,10.28704833984375,1,266.86647466544446,1,0.6409844989104293,1
1,0.12997536291595013,1,10.214296340942383,1,266.86647280312366,1,0.6408326627143116,1
1,0.1297693391919279,1,10.293159484863281,1,266.86651281998627,1,0.6405969826620267,1
1,0.12884025860008896,1,28.356050491333008,1,266.86814448975554,1,0.6403242305961688,1
1,0.1303530456745451,1,6.253420352935791,1,265.9917569440889,1,0.6403099890451126,1
1,0.13013763353371888,1,6.251091480255127,1,265.9876719196518,1,0.6400560897833606,1
1,0.12908777632715907,1,10.295907974243164,1,266.86652051837007,1,0.6398057005815493,1
1,0.128116705253411,1,10.281865119934082,1,266.86647218825095,1,0.6386774515672172,1
1,0.12809027461488154,1,10.282646179199219,1,266.8664729022226,1,0.638646796493942,1
1,0.1273002002191178,1,28.358768463134766,1,266.86814452758415,1,0.6385360797015132,1
1,0.1277131065410202,1,10.306161880493164,1,266.8665549128398,1,0.6382099607308879,1
1,0.12632462578280146,1,43.11756896972656,1,266.86797639917404,1,0.6380605458291907,1
1,0.12742584728454276,1,10.209820747375488,1,266.8664566231934,1,0.6378720237790678,1
1,0.12671751863747327,1,28.356740951538086,1,266.86814448024484,1,0.6378593960603283,1
1,0.1267492517170845,1,10.30734920501709,1,266.86655792659417,1,0.6370908155098625,1
1,0.12669068715549936,1,10.234886169433594,1,266.86654376407023,1,0.6370195714558711,1
1,0.12587338185210428,1,28.383670806884766,1,266.8681446591556,1,0.6368804081712279,1
1,0.12644368331486078,1,10.222662925720215,1,266.8665012258374,1,0.63673217497395,1
1,0.12579362412523276,1,10.277544975280762,1,266.8664593100616,1,0.6359797518251047,1
1,0.12493422735436344,1,28.358516693115234,1,266.86814450113803,1,0.6357887680495797,1
1,0.12474131637517683,1,28.36217498779297,1,266.8681445000537,1,0.6355649282626952,1
1,0.12483996374068274,1,10.289874076843262,1,266.86648651354426,1,0.6348729621072136,1
1,0.12409075855065022,1,10.224352836608887,1,266.8665076957785,1,0.6340001067254609,1
1,0.12508390820815674,1,22.878999710083008,1,264.8888079441587,1,0.6339426356649879,1
1,0.12403339918812839,1,10.302910804748535,1,266.86654537902564,1,0.6339370358147469,1
